2018-11-29 01:19:29 Jepsen starting etcd :--log-output :stderr :--name ec2-34-229-59-126.compute-1.amazonaws.com :--listen-peer-urls http://ec2-34-229-59-126.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-34-229-59-126.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-34-229-59-126.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-34-229-59-126.compute-1.amazonaws.com:2380 :--initial-cluster ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380,ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-29 01:19:29.984231 I | etcdmain: etcd Version: 3.1.5
2018-11-29 01:19:29.984263 I | etcdmain: Git SHA: 20490ca
2018-11-29 01:19:29.984269 I | etcdmain: Go Version: go1.7.5
2018-11-29 01:19:29.984274 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 01:19:29.984279 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 01:19:29.984289 W | etcdmain: no data-dir provided, using default data-dir ./ec2-34-229-59-126.compute-1.amazonaws.com.etcd
2018-11-29 01:19:29.984306 W | embed: expected IP in URL for binding (http://ec2-34-229-59-126.compute-1.amazonaws.com:2380)
2018-11-29 01:19:29.984313 W | embed: expected IP in URL for binding (http://ec2-34-229-59-126.compute-1.amazonaws.com:2379)
2018-11-29 01:19:29.986626 I | embed: listening for peers on http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-29 01:19:29.987093 I | embed: listening for client requests on ec2-34-229-59-126.compute-1.amazonaws.com:2379
2018-11-29 01:19:29.991364 I | pkg/netutil: resolving ec2-34-229-59-126.compute-1.amazonaws.com:2380 to 172.31.29.187:2380
2018-11-29 01:19:29.991763 I | pkg/netutil: resolving ec2-34-229-59-126.compute-1.amazonaws.com:2380 to 172.31.29.187:2380
2018-11-29 01:19:33.992984 I | etcdserver: name = ec2-34-229-59-126.compute-1.amazonaws.com
2018-11-29 01:19:33.993031 I | etcdserver: data dir = ec2-34-229-59-126.compute-1.amazonaws.com.etcd
2018-11-29 01:19:33.993040 I | etcdserver: member dir = ec2-34-229-59-126.compute-1.amazonaws.com.etcd/member
2018-11-29 01:19:33.993045 I | etcdserver: heartbeat = 100ms
2018-11-29 01:19:33.993050 I | etcdserver: election = 1000ms
2018-11-29 01:19:33.993055 I | etcdserver: snapshot count = 10000
2018-11-29 01:19:33.993068 I | etcdserver: advertise client URLs = http://ec2-34-229-59-126.compute-1.amazonaws.com:2379
2018-11-29 01:19:33.993074 I | etcdserver: initial advertise peer URLs = http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-29 01:19:33.993102 I | etcdserver: initial cluster = ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-29 01:19:33.998586 I | etcdserver: starting member 8893f9e0ef4f611f in cluster 38957ac2ed0cbd2c
2018-11-29 01:19:33.998611 I | raft: 8893f9e0ef4f611f became follower at term 0
2018-11-29 01:19:33.998622 I | raft: newRaft 8893f9e0ef4f611f [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 01:19:33.998628 I | raft: 8893f9e0ef4f611f became follower at term 1
2018-11-29 01:19:34.011801 I | rafthttp: starting peer 10bf218ab4a912ed...
2018-11-29 01:19:34.011847 I | rafthttp: started HTTP pipelining with peer 10bf218ab4a912ed
2018-11-29 01:19:34.014174 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-29 01:19:34.016470 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-29 01:19:34.016494 I | rafthttp: started streaming with peer 10bf218ab4a912ed (stream Message reader)
2018-11-29 01:19:34.016525 I | rafthttp: started streaming with peer 10bf218ab4a912ed (stream MsgApp v2 reader)
2018-11-29 01:19:34.016641 I | rafthttp: started peer 10bf218ab4a912ed
2018-11-29 01:19:34.016665 I | rafthttp: added peer 10bf218ab4a912ed
2018-11-29 01:19:34.016682 I | rafthttp: starting peer e119ce2abc051435...
2018-11-29 01:19:34.016718 I | rafthttp: started HTTP pipelining with peer e119ce2abc051435
2018-11-29 01:19:34.020555 I | rafthttp: started peer e119ce2abc051435
2018-11-29 01:19:34.020581 I | rafthttp: added peer e119ce2abc051435
2018-11-29 01:19:34.020598 I | rafthttp: starting peer e7c1c60b864ae98b...
2018-11-29 01:19:34.020642 I | rafthttp: started HTTP pipelining with peer e7c1c60b864ae98b
2018-11-29 01:19:34.021171 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-29 01:19:34.021199 I | rafthttp: started streaming with peer e119ce2abc051435 (stream Message reader)
2018-11-29 01:19:34.021244 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-29 01:19:34.021269 I | rafthttp: started streaming with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-29 01:19:34.021657 I | rafthttp: started streaming with peer e7c1c60b864ae98b (writer)
2018-11-29 01:19:34.021987 I | rafthttp: started streaming with peer e7c1c60b864ae98b (writer)
2018-11-29 01:19:34.024523 I | rafthttp: started peer e7c1c60b864ae98b
2018-11-29 01:19:34.024554 I | rafthttp: added peer e7c1c60b864ae98b
2018-11-29 01:19:34.024571 I | rafthttp: starting peer f6f0c3a0ba455ab3...
2018-11-29 01:19:34.024611 I | rafthttp: started HTTP pipelining with peer f6f0c3a0ba455ab3
2018-11-29 01:19:34.026137 I | rafthttp: started peer f6f0c3a0ba455ab3
2018-11-29 01:19:34.026159 I | rafthttp: added peer f6f0c3a0ba455ab3
2018-11-29 01:19:34.026192 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 01:19:34.026456 I | rafthttp: started streaming with peer e7c1c60b864ae98b (stream Message reader)
2018-11-29 01:19:34.026741 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-29 01:19:34.026762 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-29 01:19:34.026789 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-29 01:19:34.027011 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-29 01:19:34.027751 I | rafthttp: started streaming with peer e7c1c60b864ae98b (stream MsgApp v2 reader)
2018-11-29 01:19:34.028881 I | etcdserver/membership: added member 10bf218ab4a912ed [http://ec2-54-204-131-219.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:34.028987 I | etcdserver/membership: added member 8893f9e0ef4f611f [http://ec2-34-229-59-126.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:34.029086 I | etcdserver/membership: added member e119ce2abc051435 [http://ec2-100-24-16-184.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:34.029190 I | etcdserver/membership: added member e7c1c60b864ae98b [http://ec2-52-90-218-187.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:34.029330 I | etcdserver/membership: added member f6f0c3a0ba455ab3 [http://ec2-54-236-10-223.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:34.029457 I | rafthttp: peer e119ce2abc051435 became active
2018-11-29 01:19:34.029473 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message reader)
2018-11-29 01:19:34.029827 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 writer)
2018-11-29 01:19:34.029943 I | rafthttp: peer 10bf218ab4a912ed became active
2018-11-29 01:19:34.029963 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream Message writer)
2018-11-29 01:19:34.030167 I | rafthttp: peer f6f0c3a0ba455ab3 became active
2018-11-29 01:19:34.030187 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message writer)
2018-11-29 01:19:34.030894 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream MsgApp v2 writer)
2018-11-29 01:19:34.030950 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-29 01:19:34.031149 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message writer)
2018-11-29 01:19:34.031762 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 writer)
2018-11-29 01:19:34.031786 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-29 01:19:34.032630 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-29 01:19:34.032942 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream MsgApp v2 reader)
2018-11-29 01:19:34.034546 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream Message reader)
2018-11-29 01:19:34.036395 I | rafthttp: peer e7c1c60b864ae98b became active
2018-11-29 01:19:34.036414 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream MsgApp v2 reader)
2018-11-29 01:19:34.036538 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream Message reader)
2018-11-29 01:19:34.039103 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream MsgApp v2 writer)
2018-11-29 01:19:34.040281 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream Message writer)
2018-11-29 01:19:34.099939 I | raft: 8893f9e0ef4f611f [term: 1] received a MsgVote message with higher term from e119ce2abc051435 [term: 2]
2018-11-29 01:19:34.099980 I | raft: 8893f9e0ef4f611f became follower at term 2
2018-11-29 01:19:34.099993 I | raft: 8893f9e0ef4f611f [logterm: 1, index: 5, vote: 0] cast MsgVote for e119ce2abc051435 [logterm: 1, index: 5] at term 2
2018-11-29 01:19:34.101577 I | raft: raft.node: 8893f9e0ef4f611f elected leader e119ce2abc051435 at term 2
2018-11-29 01:19:34.107558 I | etcdserver: published {Name:ec2-34-229-59-126.compute-1.amazonaws.com ClientURLs:[http://ec2-34-229-59-126.compute-1.amazonaws.com:2379]} to cluster 38957ac2ed0cbd2c
2018-11-29 01:19:34.107681 I | embed: ready to serve client requests
2018-11-29 01:19:34.107931 N | embed: serving insecure client requests on 172.31.29.187:2379, this is strongly discouraged!
2018-11-29 01:19:34.108182 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 01:19:34.114260 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 01:19:34.114296 I | etcdserver/api: enabled capabilities for version 3.1
